Date,Open,High,Low,Close,Volume,Adj Close
2015-10-16,1463.949951,1469.709961,1444.880005,1452.359985,000,1452.359985
2015-10-15,1444.199951,1453.869995,1441.76001,1453.869995,000,1453.869995
2015-10-14,1451.660034,1455.060059,1441.290039,1442.75,000,1442.75
2015-10-13,1483.290039,1483.469971,1452.780029,1460.109985,000,1460.109985
2015-10-12,1488.079956,1504.599976,1472.52002,1481.430054,000,1481.430054
2015-10-09,1477.280029,1490.199951,1473.98999,1483.73999,000,1483.73999
2015-10-08,1448.420044,1464.98999,1447.359985,1464.48999,000,1464.48999
2015-10-07,1459.26001,1471.640015,1452.01001,1452.01001,000,1452.01001
2015-10-06,1457.380005,1464.579956,1441.349976,1457.150024,000,1457.150024
2015-10-05,1434.949951,1456.969971,1429.650024,1456.969971,000,1456.969971
2015-10-02,1416.660034,1429.380005,1396.199951,1412.859985,000,1412.859985
2015-10-01,1432.400024,1435.969971,1399.339966,1404.449951,000,1404.449951
2015-09-30,1415.02002,1423.829956,1407.339966,1416.890015,000,1416.890015
2015-09-29,1374.579956,1403.300049,1369.290039,1391.880005,000,1391.880005
2015-09-28,1414.920044,1416.079956,1389.380005,1389.380005,000,1389.380005
2015-09-25,1401.050049,1421.630005,1401.050049,1418.469971,000,1418.469971
2015-09-24,1422.859985,1424.199951,1378.939941,1381.869995,000,1381.869995
2015-09-23,1423.140015,1432.380005,1416.920044,1421.50,000,1421.50
2015-09-22,1440.849976,1455.869995,1424.530029,1425.390015,000,1425.390015
2015-09-21,1449.170044,1467.569946,1443.72998,1462.660034,000,1462.660034
2015-09-18,1478.660034,1478.689941,1446.97998,1453.109985,000,1453.109985
2015-09-17,1486.380005,1488.699951,1480.369995,1486.459961,000,1486.459961
2015-09-16,1480.050049,1490.560059,1477.589966,1483.660034,000,1483.660034
2015-09-15,1467.719971,1475.109985,1450.569946,1469.079956,000,1469.079956
2015-09-14,1489.02002,1491.819946,1462.76001,1467.72998,000,1467.72998
2015-09-11,1498.359985,1499.119995,1484.180054,1488.410034,000,1488.410034
2015-09-10,1495.050049,1505.660034,1487.910034,1494.349976,000,1494.349976
2015-09-09,1518.50,1524.22998,1505.98999,1507.150024,000,1507.150024
2015-09-08,1482.959961,1499.469971,1480.670044,1488.880005,000,1488.880005
2015-09-07,1473.449951,1479.880005,1466.199951,1471.75,000,1471.75
2015-09-04,1485.47998,1486.050049,1459.48999,1461.459961,86107000,1461.459961
2015-09-03,1487.900024,1506.530029,1479.130005,1500.209961,000,1500.209961
2015-09-02,1477.390015,1486.130005,1464.410034,1471.51001,000,1471.51001
2015-09-01,1487.27002,1489.069946,1460.670044,1469.869995,000,1469.869995
2015-08-31,1502.829956,1504.550049,1486.609985,1501.069946,000,1501.069946
2015-08-28,1506.839966,1509.709961,1490.459961,1509.709961,000,1509.709961
2015-08-27,1494.48999,1505.880005,1485.670044,1502.859985,000,1502.859985
2015-08-26,1465.869995,1490.47998,1444.630005,1458.199951,000,1458.199951
2015-08-25,1446.859985,1487.26001,1440.97998,1483.349976,000,1483.349976
2015-08-24,1451.780029,1471.650024,1405.01001,1428.079956,000,1428.079956
2015-08-21,1516.189941,1530.709961,1495.359985,1495.359985,000,1495.359985
2015-08-20,1546.819946,1553.540039,1532.959961,1534.390015,000,1534.390015
2015-08-19,1576.859985,1576.859985,1553.27002,1553.51001,000,1553.51001
2015-08-18,1587.079956,1592.839966,1580.390015,1583.530029,000,1583.530029
2015-08-17,1598.689941,1603.680054,1578.410034,1592.810059,000,1592.810059
2015-08-14,1594.880005,1598.290039,1583.339966,1586.829956,000,1586.829956
2015-08-13,1597.390015,1599.609985,1586.290039,1594.150024,000,1594.150024
2015-08-12,1604.030029,1604.030029,1573.119995,1575.040039,000,1575.040039
2015-08-11,1633.819946,1638.119995,1611.609985,1614.719971,000,1614.719971
2015-08-10,1621.349976,1636.630005,1608.27002,1636.540039,000,1636.540039
2015-08-07,1621.349976,1622.939941,1612.280029,1612.280029,000,1612.280029
2015-08-06,1626.550049,1627.47998,1619.420044,1621.560059,000,1621.560059
2015-08-05,1615.630005,1630.01001,1615.630005,1627.420044,000,1627.420044
2015-08-04,1616.560059,1616.900024,1606.540039,1611.880005,000,1611.880005
2015-08-03,1615.439941,1621.72998,1610.48999,1618.280029,000,1618.280029
